label,input
normal,wpa_supplicant: wlan0: CTRL-EVENT-SIGNAL-CHANGE station=9c:b6:d0:13:7e:64 above=1 signal=-72 noise=-95 txrate=144.4 Mb/s
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 WPA: group key handshake completed (RSN) gtk=0 event_id=train-77
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c retry counter reset after successful frame ack retry_count=2
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b IEEE 802.1X: authentication completed successfully session=3353
normal,dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.20.5.37 5c:e9:1e:33:8f:a1
normal,wpa_supplicant: wlan0: CTRL-EVENT-SIGNAL-CHANGE station=f4:f5:d8:7a:19:2b above=1 signal=-45 noise=-95 txrate=144.4 Mb/s
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=3949
error,dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.20.5.105 9c:b6:d0:13:7e:64 lease conflict detected xid=4835
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 WPA: EAPOL-Key message received replay_counter=907
error,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=3823
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b WPA: EAPOL-Key message 1/4 sent replay_counter=938
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 disconnected due to excessive frame retries retry_count=10
normal,dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.20.5.99 6c:5a:b0:2e:91:c8
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 WPA: pairwise key handshake completed (RSN)
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd accounting session started session=3580
error,radiusd[822]: Login incorrect: [b8:27:eb:6d:45:f2] invalid password from client ap-1
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: EAPOL-Key message received replay_counter=805
error,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 WPA: EAPOL-Key timeout after message 3/4 retry=0
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 accounting session started session=3408
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 keepalive retry succeeded retry_count=1
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a RADIUS: Access-Accept received session=3256
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 WPA: received EAPOL-Key with invalid MIC replay_counter=3662
normal,kernel: wlan0: station 6c:5a:b0:2e:91:c8 power save mode disabled after traffic idle interval=104s
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd IEEE 802.11: association denied status_code=17 AP full attempt=5920
normal,wpa_supplicant: wlan0: CTRL-EVENT-SCAN-RESULTS station=a0:36:9f:71:b5:2e scan_id=3086
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 FT authentication completed r0kh_id=ap-3
normal,kernel: wlan0: station 28:cf:e9:5b:73:a4 data rate updated to 72.2 Mbps mcs=7
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b WPA: EAPOL-Key message 1/4 sent replay_counter=668
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c keepalive retry succeeded retry_count=1 event_id=train-104
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.11: associated (aid 62)
error,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4494
error,hostapd: wlan0: STA b8:27:eb:6d:45:f2 WPA: EAPOL-Key timeout after message 3/4 retry=0
error,kernel: wlan0: firmware crashed during key install for station 9c:b6:d0:13:7e:64 crash_id=5750
normal,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.20.2.128 f4:f5:d8:7a:19:2b xid=1058
error,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 IEEE 802.1X: EAP timeout waiting for response session=5300
error,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 denied by MAC ACL policy acl_rule=4
normal,hostapd: wlan0: STA 3c:22:fb:10:24:38 keepalive response received after retry retry_count=0 event_id=train-112
normal,kernel: wlan0: station 0c:8b:fd:61:c2:14 low signal warning cleared signal=-69
error,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 kicked due to low ACK response rate ack_rate=14
error,dnsmasq-dhcp[411]: bad DHCP request from 88:66:5a:d1:72:0c: requested address outside subnet xid=4849
normal,kernel: wlan0: station 5c:e9:1e:33:8f:a1 power save mode disabled after traffic idle interval=92s
normal,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 accounting session updated rx_bytes=66085 tx_bytes=88265
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c retry counter reset after successful frame ack retry_count=0
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: group key handshake timeout retry=0
error,hostapd: wlan0: STA a0:36:9f:71:b5:2e EAP-TLS: client certificate validation failed serial=105051
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=4099
normal,kernel: wlan0: station 88:66:5a:d1:72:0c power save mode enabled ps_seq=2179
normal,wpa_supplicant: wlan0: CTRL-EVENT-SIGNAL-CHANGE station=6c:5a:b0:2e:91:c8 above=1 signal=-71 noise=-95 txrate=144.4 Mb/s
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 FT authentication completed r0kh_id=ap-1
error,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 WPA: pairwise key installation failed keyidx=1
error,dnsmasq-dhcp[411]: no address available for DHCP request from 48:5f:99:c0:21:6a pool=1
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.11: associated (aid 2)
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 retry counter reset after successful frame ack retry_count=0
error,hostapd: wlan0: STA f4:f5:d8:7a:19:2b IEEE 802.1X: EAP timeout waiting for response session=5198
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.1X: authentication completed successfully session=3337
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 FT authentication completed r0kh_id=ap-4
normal,kernel: wlan0: station b8:27:eb:6d:45:f2 low signal warning cleared signal=-61
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 accounting session updated rx_bytes=65461 tx_bytes=87449
normal,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: EAPOL-Key message sent replay_counter=930
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 WPA: EAPOL-Key message 4/4 received replay_counter=887
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c changed power save mode: off ps_seq=1924
error,wpa_supplicant: wlan0: WPA: PTK derivation failed for station f4:f5:d8:7a:19:2b attempt=3893
error,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: EAPOL-Key timeout after message 3/4 retry=0
error,"kernel: wlan0: station 2c:54:cf:92:10:bd beacon loss detected, connection unstable seq=5500"
error,hostapd: wlan0: STA dc:a6:32:48:91:0f IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4302
normal,wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED bssid=00:25:9c:7a:10:01 id=0 ssid=IoT-Net station=5c:e9:1e:33:8f:a1
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b authorized vlan=2
error,"kernel: wlan0: station 2c:54:cf:92:10:bd beacon loss detected, connection unstable seq=5410"
error,hostapd: wlan0: STA 70:3a:cb:51:2d:88 WPA: EAPOL-Key timeout after message 3/4 retry=2
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: group key handshake completed (RSN) gtk=0
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 WPA: EAPOL-Key message received replay_counter=667
error,kernel: wlan0: station 28:cf:e9:5b:73:a4 link failed due to poor channel conditions signal=-91
normal,kernel: wlan0: station 9c:b6:d0:13:7e:64 power save mode disabled after traffic idle interval=80s
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.63 70:3a:cb:51:2d:88 client-33
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.11: associated (aid 48)
normal,kernel: wlan0: station dc:a6:32:48:91:0f low signal warning cleared signal=-67
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd IEEE 802.1X: authentication failed session=5005
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 PMKSA cache entry added cache_id=2909
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e temporary queue timeout recovered queue=7
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e temporary queue timeout recovered queue=5
normal,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 IEEE 802.11: authenticated auth_seq=234
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e accounting interim update sent session=3446
error,kernel: wlan0: tx queue stuck for station f4:f5:d8:7a:19:2b; firmware recovery triggered queue=3
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 temporary queue timeout recovered queue=5
error,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 WPA: received EAPOL-Key with invalid MIC replay_counter=3794
normal,dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.20.1.33 28:cf:e9:5b:73:a4 lease=12h
error,kernel: wlan0: failed to allocate station entry for 6c:5a:b0:2e:91:c8 table_usage=99%
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 WPA: received EAPOL-Key with invalid MIC replay_counter=3722
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd keepalive retry succeeded retry_count=1
normal,kernel: wlan0: station dc:a6:32:48:91:0f power save mode enabled after association interval=87s
error,wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED station=a0:36:9f:71:b5:2e bssid=00:25:9c:7a:10:01 reason=34 locally_generated=0 seq=4406
error,wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED station=a0:36:9f:71:b5:2e bssid=64:70:02:9a:bc:11 reason=34 locally_generated=0 seq=4466
normal,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.20.2.24 6c:5a:b0:2e:91:c8 xid=1334
error,hostapd: wlan0: STA 48:5f:99:c0:21:6a WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=4141
normal,kernel: wlan0: station a0:36:9f:71:b5:2e power save mode disabled after traffic idle interval=116s
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c accounting interim update sent session=3454
error,kernel: wlan0: failed to allocate station entry for 88:66:5a:d1:72:0c table_usage=94%
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e changed power save mode: on ps_seq=2141
normal,kernel: wlan0: station dc:a6:32:48:91:0f power save mode disabled ps_seq=1482
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 temporary queue timeout recovered queue=1
normal,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: EAPOL-Key message sent replay_counter=810
normal,kernel: wlan0: station 0c:8b:fd:61:c2:14 low signal warning cleared signal=-59
error,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.1X: authentication failed session=5167
normal,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 WPA: EAPOL-Key message 2/4 received replay_counter=729
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 keepalive retry succeeded retry_count=1 event_id=train-180
error,dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.20.4.80 2c:54:cf:92:10:bd lease conflict detected xid=4810
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c retry counter reset after successful frame ack retry_count=2 event_id=train-182
normal,dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 70:3a:cb:51:2d:88 xid=1098
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.11: associated (aid 34)
error,hostapd: wlan0: STA 70:3a:cb:51:2d:88 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4368
error,wpa_supplicant: wlan0: WPA: PTK derivation failed for station 5c:e9:1e:33:8f:a1 attempt=3737
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f accounting interim update sent session=3582
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a accounting interim update sent session=3466
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e changed power save mode: on ps_seq=1511
error,dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.20.5.165 9c:b6:d0:13:7e:64 lease conflict detected xid=4895
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd changed power save mode: off ps_seq=2050
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 accounting session updated rx_bytes=65513 tx_bytes=87517
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a keepalive retry succeeded retry_count=1
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 IEEE 802.11: class 3 frame from nonassociated station reason=7 seq=4607
normal,kernel: wlan0: station 70:3a:cb:51:2d:88 power save mode disabled ps_seq=1938
error,radiusd[822]: Login incorrect: [70:3a:cb:51:2d:88] invalid password from client ap-5 event_id=train-196
normal,kernel: wlan0: station 0c:8b:fd:61:c2:14 power save mode enabled after association interval=39s
normal,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.20.2.86 a0:36:9f:71:b5:2e xid=1016
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e IEEE 802.1X: authentication completed successfully session=3281
normal,hostapd: wlan0: STA 3c:22:fb:10:24:38 keepalive response received after retry retry_count=0 event_id=train-200
error,hostapd: wlan0: STA e4:5f:01:aa:3b:77 RADIUS: server timeout during authentication session=5332
normal,wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED bssid=00:25:9c:7a:10:01 id=0 ssid=OfficeWiFi-Guest station=a0:36:9f:71:b5:2e
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f WPA: EAPOL-Key message 2/4 received replay_counter=747
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.207 dc:a6:32:48:91:0f client-17
normal,kernel: wlan0: station 28:cf:e9:5b:73:a4 power save mode enabled ps_seq=2023
normal,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 WPA: EAPOL-Key message 4/4 received replay_counter=755
error,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 kicked due to low ACK response rate ack_rate=4
error,kernel: wlan0: failed to allocate station entry for 0c:8b:fd:61:c2:14 table_usage=99%
normal,wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED bssid=18:64:72:2f:8a:c3 id=0 ssid=OfficeWiFi station=9c:b6:d0:13:7e:64
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c accounting session updated rx_bytes=64317 tx_bytes=85953
error,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: EAPOL-Key timeout after message 3/4 retry=2
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.89 0c:8b:fd:61:c2:14 client-9
normal,kernel: wlan0: station 5c:e9:1e:33:8f:a1 data rate updated to 866.7 Mbps mcs=11
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 IEEE 802.11: authenticated auth_seq=366
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: EAPOL-Key message received replay_counter=745
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c IEEE 802.11: associated (aid 30)
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f reassociated successfully aid=13
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b accounting session updated rx_bytes=66709 tx_bytes=89081
error,kernel: wlan0: failed to allocate station entry for 6c:5a:b0:2e:91:c8 table_usage=94%
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 retry counter reset after successful frame ack retry_count=0
normal,radiusd[822]: Login OK: [0c:8b:fd:61:c2:14] from client ap-3 port 4219
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd RADIUS: server timeout during authentication session=5320
normal,kernel: wlan0: station 5c:e9:1e:33:8f:a1 power save mode disabled after traffic idle interval=62s
normal,kernel: wlan0: station 48:5f:99:c0:21:6a power save mode enabled ps_seq=2041
error,kernel: wlan0: station 70:3a:cb:51:2d:88 link failed due to poor channel conditions signal=-81
normal,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: pairwise key handshake completed (RSN)
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: group key handshake timeout retry=2 event_id=train-227
error,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 IEEE 802.1X: EAP timeout waiting for response session=5180
normal,kernel: wlan0: station 48:5f:99:c0:21:6a power save mode enabled ps_seq=2161
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: EAPOL-Key message received replay_counter=655
error,hostapd: wlan0: STA 48:5f:99:c0:21:6a WPA: group key handshake timeout retry=2
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a WPA: group key handshake completed (RSN) gtk=2
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.29 0c:8b:fd:61:c2:14 client-29
normal,dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.20.4.160 2c:54:cf:92:10:bd
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 changed power save mode: on ps_seq=1817
error,wpa_supplicant: wlan0: WPA: PTK derivation failed for station 9c:b6:d0:13:7e:64 attempt=3635
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 RADIUS: Access-Accept received session=3224
error,hostapd: wlan0: STA b8:27:eb:6d:45:f2 RADIUS: Access-Reject received session=5016
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 power save mode enabled ps_seq=1747
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 IEEE 802.1X: authentication completed successfully session=3333
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 changed power save mode: on ps_seq=1619
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e changed power save mode: on ps_seq=1931
normal,kernel: wlan0: station 70:3a:cb:51:2d:88 power save mode disabled ps_seq=1578
normal,wpa_supplicant: wlan0: CTRL-EVENT-ROAMED bssid=64:70:02:9a:bc:11 station=9c:b6:d0:13:7e:64 roam_seq=2900
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f accounting interim update sent session=3402
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a retry counter reset after successful frame ack retry_count=2
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e changed power save mode: on ps_seq=1631
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=3709
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 WPA: EAPOL-Key message 1/4 sent replay_counter=692
error,hostapd: wlan0: STA a0:36:9f:71:b5:2e IEEE 802.1X: EAP timeout waiting for response session=5306
error,wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED station=6c:5a:b0:2e:91:c8 bssid=00:25:9c:7a:10:01 reason=34 locally_generated=0 seq=4244
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e WPA: EAPOL-Key message 1/4 sent replay_counter=776
error,hostapd: wlan0: STA 70:3a:cb:51:2d:88 WPA: EAPOL-Key timeout after message 3/4 retry=2 event_id=train-253
error,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) dc:a6:32:48:91:0f ignored because address pool exhausted pool=0
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 IEEE 802.11: authentication failed status_code=13 attempt=5987
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 power save mode enabled ps_seq=2167
normal,hostapd: wlan0: STA 3c:22:fb:10:24:38 IEEE 802.11: authenticated auth_seq=90
normal,kernel: wlan0: station dc:a6:32:48:91:0f power save mode enabled after association interval=57s
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd IEEE 802.11: disassociated because AP is unable to handle station reason=5 seq=4210
normal,wpa_supplicant: wlan0: CTRL-EVENT-SCAN-RESULTS station=48:5f:99:c0:21:6a scan_id=2956
