label,input
normal,wpa_supplicant: wlan0: CTRL-EVENT-SCAN-RESULTS station=d8:bb:c1:07:90:ac scan_id=3221
error,"hostapd: wlan0: STA 0c:8b:fd:61:c2:14 no keepalive ACK after retries, deauthenticating reason=4 retry_count=11"
error,"hostapd: wlan0: STA 70:3a:cb:51:2d:88 no keepalive ACK after retries, deauthenticating reason=4 retry_count=11"
normal,kernel: wlan0: station 64:5a:04:a9:33:e1 low signal warning cleared signal=-51 event_id=train-3033
error,dnsmasq-dhcp[411]: no address available for DHCP request from dc:a6:32:48:91:0f pool=0 event_id=train-4848
normal,wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED bssid=18:64:72:2f:8a:c3 id=0 ssid=OfficeWiFi station=d8:bb:c1:07:90:ac
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e temporary keepalive miss recovered without disconnect retry=2 event_id=train-2021
error,radiusd[822]: Login incorrect: [0c:8b:fd:61:c2:14] invalid password from client ap-7
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c retry counter reset after successful frame ack retry_count=0 event_id=train-2104
error,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: EAPOL-Key timeout after message 3/4 retry=0
error,"hostapd: wlan0: STA 48:5f:99:c0:21:6a no keepalive ACK after retries, deauthenticating reason=4 retry_count=15"
error,wpa_supplicant: wlan0: CTRL-EVENT-BEACON-LOSS station=6c:5a:b0:2e:91:c8 bssid=18:64:72:2f:8a:c3 seq=5216
normal,dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.20.1.53 48:5f:99:c0:21:6a lease=12h
error,"hostapd: wlan0: STA b8:27:eb:6d:45:f2 no keepalive ACK after retries, deauthenticating reason=4 retry_count=8"
normal,radiusd[822]: Login OK: [28:cf:e9:5b:73:a4] from client ap-7 port 4343
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: group key handshake completed (RSN) gtk=0 event_id=train-160
normal,dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.20.4.170 2c:54:cf:92:10:bd
error,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 IEEE 802.11: deauthenticated due to previous authentication no longer valid reason=2 seq=4513
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=4088
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f WPA: EAPOL-Key message sent replay_counter=642
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 keepalive response received after retry retry=0 event_id=train-2013
error,"hostapd: wlan0: STA 88:66:5a:d1:72:0c no keepalive ACK after retries, deauthenticating reason=4 retry_count=14"
error,kernel: wlan0: hardware restart required after station 5c:e9:1e:33:8f:a1 transmit timeout queue=6
normal,dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.20.5.35 a0:36:9f:71:b5:2e
normal,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 WPA: pairwise key handshake completed (RSN) event_id=train-201
error,hostapd: wlan0: STA d8:bb:c1:07:90:ac WPA: group key handshake timeout retry=3 event_id=train-4115
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c RADIUS: Access-Accept received session=3316
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 power save mode enabled ps_seq=1177
error,hostapd: wlan0: STA dc:a6:32:48:91:0f WPA: EAPOL-Key timeout after message 3/4 retry=0 event_id=train-3876
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 IEEE 802.11: authenticated auth_seq=348
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f keepalive response received sequence=2118
normal,hostapd: wlan0: STA d8:bb:c1:07:90:ac RSN: PMKSA cache entry refreshed cache_id=2357
normal,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.20.2.126 5c:e9:1e:33:8f:a1 xid=866
error,kernel: wlan0: tx queue stuck for station 5c:e9:1e:33:8f:a1; firmware recovery triggered queue=4
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 EAP: peer certificate verified serial=103314
normal,kernel: wlan0: station 70:3a:cb:51:2d:88 low signal warning cleared signal=-67
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f EAP: peer certificate verified serial=103342
error,kernel: wlan0: firmware crashed while processing association response station=5c:e9:1e:33:8f:a1 crash_id=5456
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c IEEE 802.11: authentication failed status_code=13 attempt=5692
error,dnsmasq-dhcp[411]: no address available for DHCP request from 9c:b6:d0:13:7e:64 pool=5 event_id=train-4823
error,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 deauthenticated after keepalive timeout reason=4 retry_count=11
normal,kernel: wlan0: station a0:36:9f:71:b5:2e data rate updated to 866.7 Mbps mcs=11 event_id=train-2939
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: pairwise key installation failed keyidx=0 event_id=train-4072
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 PMF required but client did not negotiate management frame protection attempt=5708
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 RSN: using cached PMKSA for fast reconnect cache_id=2509
error,hostapd: wlan0: STA a8:6d:aa:42:bc:09 IEEE 802.11: deauthenticated due to previous authentication no longer valid reason=2 seq=4318
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.55 70:3a:cb:51:2d:88 client-75
error,"kernel: wlan0: station f4:f5:d8:7a:19:2b beacon loss detected, connection unstable seq=5210"
error,hostapd: wlan0: STA b8:27:eb:6d:45:f2 WPA: EAPOL-Key timeout after message 3/4 retry=0 event_id=train-3780
normal,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 RSN: PMKSA cache hit cache_id=2705
error,hostapd: wlan0: STA a8:6d:aa:42:bc:09 RADIUS: server timeout during authentication session=4930
error,dnsmasq-dhcp[411]: duplicate lease conflict for 10.20.0.58 3c:22:fb:10:24:38 xid=4788
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 temporary queue timeout recovered queue=4
normal,dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.20.1.71 48:5f:99:c0:21:6a lease=12h
error,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 WPA: group key handshake timeout retry=1 event_id=train-3977
error,kernel: wlan0: driver failed to install pairwise key for station 48:5f:99:c0:21:6a keyidx=1
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.193 64:5a:04:a9:33:e1 client-53
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 keepalive response received after retry retry=0 event_id=train-2193
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 WPA: pairwise key handshake completed (RSN) event_id=train-315
normal,dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 3c:22:fb:10:24:38 xid=1008
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 RSN: PMKSA cache lookup succeeded cache_id=2373
normal,dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.20.5.21 9c:b6:d0:13:7e:64
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c WPA: pairwise key installation failed keyidx=0 event_id=train-3904
error,hostapd: wlan0: STA a0:36:9f:71:b5:2e EAP-TLS: client certificate validation failed serial=105015
error,hostapd: wlan0: STA e4:5f:01:aa:3b:77 WPA: EAPOL-Key timeout after message 1/4 retry=1 event_id=train-3889
error,dnsmasq-dhcp[411]: bad DHCP request from 9c:b6:d0:13:7e:64: requested address outside subnet xid=4829
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: pairwise key installation failed keyidx=2 event_id=train-3694
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c changed power save mode: off ps_seq=1570
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 keepalive response received sequence=1932
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 IEEE 802.1X: authentication completed successfully session=3273
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 keepalive response received after retry retry=0 event_id=train-2313
error,hostapd: wlan0: STA b8:27:eb:6d:45:f2 PMF required but client did not negotiate management frame protection attempt=5658
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.11: associated (aid 40)
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c RSN: PMKSA cache lookup succeeded cache_id=2488
normal,hostapd: wlan0: STA dc:a6:32:48:91:0f RADIUS: Access-Accept received session=3288
normal,kernel: wlan0: station d8:bb:c1:07:90:ac low signal warning cleared signal=-55
error,hostapd: wlan0: STA a8:6d:aa:42:bc:09 RADIUS: server timeout during authentication session=5038
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 signal poll updated signal=-71 noise=-95
normal,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 WPA: EAPOL-Key message 2/4 received replay_counter=441
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd changed power save mode: off ps_seq=1558
normal,dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.20.5.33 d8:bb:c1:07:90:ac
normal,dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.20.5.89 a0:36:9f:71:b5:2e
normal,wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED bssid=00:25:9c:7a:10:01 id=0 ssid=OfficeWiFi station=d8:bb:c1:07:90:ac
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b keepalive retry succeeded retry=2 event_id=train-2342
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 reassociated successfully aid=39
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd changed power save mode: off ps_seq=1234
error,hostapd: wlan0: STA b8:27:eb:6d:45:f2 WPA: EAPOL-Key timeout after message 3/4 retry=0 event_id=train-4068
error,hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.11: deauthenticated due to previous authentication no longer valid reason=2 seq=4393
error,kernel: wlan0: connection lost from 18:64:72:2f:8a:c3 after beacon timeout station=d8:bb:c1:07:90:ac seq=5237
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e changed power save mode: on ps_seq=1487
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 RSN: using cached PMKSA for fast reconnect cache_id=2774
error,kernel: wlan0: station dc:a6:32:48:91:0f link failed due to poor channel conditions signal=-87
normal,dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.20.1.25 48:5f:99:c0:21:6a lease=12h
error,kernel: wlan0: connection lost from 00:25:9c:7a:10:02 after beacon timeout station=88:66:5a:d1:72:0c seq=5332
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 WPA: group key handshake completed (RSN) gtk=2
error,kernel: wlan0: tx queue stuck for station 48:5f:99:c0:21:6a; firmware recovery triggered queue=5
normal,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 keepalive retry succeeded retry=2 event_id=train-2258
error,"hostapd: wlan0: STA 64:5a:04:a9:33:e1 no keepalive ACK after retries, deauthenticating reason=4 retry_count=13"
normal,wpa_supplicant: wlan0: CTRL-EVENT-ROAMED bssid=64:70:02:9a:bc:11 station=6c:5a:b0:2e:91:c8 roam_seq=3164
error,hostapd: wlan0: STA a8:6d:aa:42:bc:09 WPA: pairwise key installation failed keyidx=0 event_id=train-4096
error,dnsmasq-dhcp[411]: duplicate lease conflict for 10.20.2.58 f4:f5:d8:7a:19:2b xid=4598
error,kernel: wlan0: firmware crashed during key install for station 5c:e9:1e:33:8f:a1 crash_id=5510
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 RADIUS: Access-Accept received session=3292
normal,wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED bssid=18:64:72:2f:8a:c3 id=0 ssid=IoT-Net station=a0:36:9f:71:b5:2e event_id=train-329
error,hostapd: wlan0: STA 70:3a:cb:51:2d:88 WPA: received EAPOL-Key with invalid MIC replay_counter=3765
normal,kernel: wlan0: station 28:cf:e9:5b:73:a4 power save mode enabled ps_seq=1381
error,radiusd[822]: Login incorrect: [70:3a:cb:51:2d:88] invalid password from client ap-3 event_id=train-5127
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd RSN: PMKSA cache entry refreshed cache_id=2782
error,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 WPA: 4-Way Handshake failed - pre-shared key may be incorrect attempt=4100
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 keepalive retry succeeded retry=2 event_id=train-2120
normal,kernel: wlan0: station 9c:b6:d0:13:7e:64 low signal warning cleared signal=-63 event_id=train-3005
