label,input
normal,2023-11-15T01:14:00.100Z hostapd: wlan0: STA 02:00:00:00:0b:49 WPA: pairwise key handshake completed (RSN)
error,2023-11-15T00:10:50.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=8
error,2023-11-14T22:35:05.100Z hostapd: wlan0: STA 02:00:00:00:01:5a WPA: PTKSTART: 4-way handshake failed after retransmission
normal,2023-11-14T23:36:30.050Z hostapd: wlan0: STA 02:00:00:00:05:2f IEEE 802.11: associated (aid 1)
normal,2023-11-15T00:36:00.100Z hostapd: wlan0: STA 02:00:00:00:08:e9 WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T00:22:50.050Z hostapd: wlan0: STA 02:00:00:00:08:17 IEEE 802.11: associated (aid 4)
error,2023-11-15T00:11:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
error,2023-11-15T00:43:05.300Z hostapd: wlan0: STA 02:00:00:00:09:5a WPA: 4-way handshake information element mismatch
error,2023-11-15T01:24:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-15T00:36:05.100Z hostapd: wlan0: STA 02:00:00:00:08:ea WPA: PTKSTART: 4-way handshake failed after retransmission
normal,2023-11-15T00:22:45.050Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.87 02:00:00:00:08:16
error,2023-11-14T23:04:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-14T23:28:35.150Z hostapd: wlan0: STA 02:00:00:00:04:b0 WPA: EAPOL-Key timeout
error,2023-11-15T01:23:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T23:26:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:04:96 LabPhone
normal,2023-11-15T01:07:15.050Z hostapd: wlan0: STA 02:00:00:00:0a:dc IEEE 802.11: associated (aid 1)
normal,2023-11-14T23:51:00.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:06:19
normal,2023-11-15T01:16:30.100Z hostapd: wlan0: STA 02:00:00:00:0b:6f WPA: pairwise key handshake completed (RSN)
error,2023-11-14T22:38:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
normal,2023-11-14T22:14:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:00:16 LabPhone
normal,2023-11-14T22:27:45.300Z dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.0.0.87 02:00:00:00:00:e6
error,2023-11-14T22:32:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:01:34
normal,2023-11-15T00:49:00.000Z hostapd: wlan0: STA 02:00:00:00:09:b9 IEEE 802.11: authenticated
normal,2023-11-15T00:50:10.000Z hostapd: wlan0: STA 02:00:00:00:09:cb IEEE 802.11: authenticated
error,2023-11-15T00:51:30.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T23:43:00.000Z hostapd: wlan0: STA 02:00:00:00:05:99 IEEE 802.11: authenticated
error,2023-11-14T22:26:05.100Z hostapd: wlan0: STA 02:00:00:00:00:ca WPA: PTKSTART: 4-way handshake failed after retransmission
normal,2023-11-14T23:24:45.200Z dhclient[532]: bound to 10.0.0.87 -- renewal in 1800 seconds.
error,2023-11-14T23:44:15.500Z hostapd: wlan0: STA 02:00:00:00:05:ac IEEE 802.1X: authentication failed - EAP timeout
error,2023-11-14T23:41:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-15T00:41:30.100Z hostapd: wlan0: STA 02:00:00:00:09:3f WPA: pairwise key handshake completed (RSN)
error,"2023-11-15T01:20:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
error,2023-11-14T22:42:00.450Z kernel: wlan0: firmware crashed while processing association response
error,2023-11-14T23:52:50.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=8
normal,2023-11-15T00:35:10.050Z hostapd: wlan0: STA 02:00:00:00:08:db IEEE 802.11: associated (aid 1)
error,2023-11-15T00:09:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:07:44
normal,2023-11-14T22:16:55.000Z hostapd: wlan0: STA 02:00:00:00:00:38 IEEE 802.11: authenticated
normal,2023-11-14T22:51:35.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:02:64
error,2023-11-14T22:58:50.150Z hostapd: wlan0: STA 02:00:00:00:02:d7 IEEE 802.11: disassociated due to excessive frame loss
error,2023-11-15T01:05:05.300Z hostapd: wlan0: STA 02:00:00:00:0a:ba WPA: 4-way handshake information element mismatch
error,2023-11-15T00:46:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
normal,2023-11-14T23:46:30.100Z hostapd: wlan0: STA 02:00:00:00:05:cf WPA: pairwise key handshake completed (RSN)
error,2023-11-14T23:54:05.300Z hostapd: wlan0: STA 02:00:00:00:06:4a WPA: 4-way handshake information element mismatch
normal,2023-11-14T23:03:25.100Z hostapd: wlan0: STA 02:00:00:00:03:1e IEEE 802.11: reassociated (aid 5)
error,2023-11-14T23:07:35.350Z hostapd: wlan0: STA 02:00:00:00:03:60 IEEE 802.11: deauthenticated due to local deauth request
error,"2023-11-14T23:33:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
error,2023-11-15T00:16:05.150Z hostapd: wlan0: STA 02:00:00:00:07:aa WPA: group key handshake timeout
normal,2023-11-14T22:22:30.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
error,2023-11-14T23:03:20.050Z hostapd: wlan0: STA 02:00:00:00:03:21 IEEE 802.11: association denied due to unsupported rates
error,2023-11-14T22:19:15.500Z hostapd: wlan0: STA 02:00:00:00:00:5c IEEE 802.1X: authentication failed - EAP timeout
error,2023-11-15T00:45:40.350Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:09:85
error,2023-11-14T23:29:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
normal,2023-11-15T00:49:55.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-15T00:34:45.150Z dhclient[532]: DHCPREQUEST on wlan0 to 02:11:22:33:44:55 port 67
error,"2023-11-14T23:19:00.400Z kernel: wlan0: failed to remove key (idx=0, hw_key_idx=-1)"
normal,2023-11-14T23:24:20.100Z hostapd: wlan0: STA 02:00:00:00:04:6d IEEE 802.11: associated (aid 2)
error,2023-11-14T23:28:40.350Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:04:b5
normal,2023-11-15T01:13:15.050Z hostapd: wlan0: STA 02:00:00:00:0b:3c IEEE 802.11: associated (aid 1)
normal,2023-11-14T23:25:40.100Z hostapd: wlan0: STA 02:00:00:00:04:85 WPA: pairwise key handshake completed (RSN)
error,2023-11-14T23:51:20.050Z hostapd: wlan0: STA 02:00:00:00:06:21 IEEE 802.11: association denied due to unsupported rates
error,2023-11-14T23:39:50.150Z hostapd: wlan0: STA 02:00:00:00:05:67 IEEE 802.11: disassociated due to excessive frame loss
normal,2023-11-15T00:13:30.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
error,2023-11-15T00:54:50.150Z hostapd: wlan0: STA 02:00:00:00:0a:17 IEEE 802.11: disassociated due to excessive frame loss
error,2023-11-14T22:56:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
normal,2023-11-15T01:32:50.000Z hostapd: wlan0: STA 02:00:00:00:0c:77 IEEE 802.11: authenticated
error,2023-11-14T22:49:15.500Z hostapd: wlan0: STA 02:00:00:00:02:3c IEEE 802.1X: authentication failed - EAP timeout
normal,2023-11-14T23:14:55.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:03:d8
normal,2023-11-15T00:27:35.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:08:64
normal,2023-11-14T23:31:20.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,2023-11-14T23:11:00.550Z wpa_supplicant[212]: wlan0: CTRL-EVENT-BEACON-LOSS
normal,2023-11-14T23:42:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:05:94
error,2023-11-15T01:04:35.450Z dnsmasq-dhcp[411]: no address available for 02:00:00:00:0a:b4
error,2023-11-14T22:29:00.450Z kernel: wlan0: firmware crashed while processing association response
normal,2023-11-15T01:20:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:0b:b6 LabPhone
error,2023-11-15T01:14:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T22:36:30.100Z hostapd: wlan0: STA 02:00:00:00:01:6f WPA: pairwise key handshake completed (RSN)
normal,2023-11-14T23:04:00.000Z hostapd: wlan0: STA 02:00:00:00:03:29 IEEE 802.11: authenticated
normal,2023-11-15T01:18:00.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:0b:89
normal,2023-11-14T22:48:20.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,2023-11-14T23:18:20.050Z hostapd: wlan0: STA 02:00:00:00:04:11 IEEE 802.11: association denied due to unsupported rates
error,2023-11-14T23:50:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-15T00:41:30.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:09:3f
normal,2023-11-14T22:34:45.050Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.87 02:00:00:00:01:56
normal,2023-11-14T23:07:55.100Z hostapd: wlan0: STA 02:00:00:00:03:68 WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T00:28:30.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:08:6f
normal,2023-11-15T00:09:45.200Z dhclient[532]: bound to 10.0.0.87 -- renewal in 1800 seconds.
normal,2023-11-15T00:26:00.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:08:49
error,2023-11-14T22:48:30.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,"2023-11-15T00:58:20.100Z hostapd: wlan0: STA 02:00:00:00:0a:51 IEEE 802.11: denied association, too many stations"
normal,2023-11-14T23:51:10.100Z hostapd: wlan0: STA 02:00:00:00:06:1b WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T01:13:35.050Z hostapd: wlan0: STA 02:00:00:00:0b:44 IEEE 802.11: associated (aid 1)
error,2023-11-14T22:57:00.450Z kernel: wlan0: firmware crashed while processing association response
normal,2023-11-15T01:23:20.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
error,"2023-11-15T00:35:20.100Z hostapd: wlan0: STA 02:00:00:00:08:e1 IEEE 802.11: denied association, too many stations"
normal,2023-11-14T22:25:45.050Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.87 02:00:00:00:00:c6
normal,2023-11-15T00:51:35.000Z hostapd: wlan0: STA 02:00:00:00:09:e4 IEEE 802.11: authenticated
normal,2023-11-15T00:21:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:08:06 LabPhone
error,2023-11-15T01:22:05.200Z kernel: wlan0: Michael MIC failure detected for STA 02:00:00:00:0b:ca
normal,2023-11-14T23:30:55.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:04:d8
error,2023-11-15T00:27:25.150Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 7)
normal,2023-11-15T00:29:40.100Z hostapd: wlan0: STA 02:00:00:00:08:85 WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T00:08:10.050Z hostapd: wlan0: STA 02:00:00:00:07:2b IEEE 802.11: associated (aid 1)
error,2023-11-14T23:07:50.150Z hostapd: wlan0: STA 02:00:00:00:03:67 IEEE 802.11: disassociated due to excessive frame loss
error,2023-11-15T01:15:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:0b:64
error,"2023-11-15T00:30:00.400Z kernel: wlan0: failed to remove key (idx=0, hw_key_idx=-1)"
error,2023-11-14T22:28:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T22:26:10.000Z hostapd: wlan0: STA 02:00:00:00:00:cb IEEE 802.11: authenticated
normal,2023-11-15T01:23:10.050Z hostapd: wlan0: STA 02:00:00:00:0b:db IEEE 802.11: associated (aid 1)
normal,2023-11-14T22:28:40.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:00:f5
normal,2023-11-14T23:59:25.150Z wpa_supplicant[212]: wlan0: WPA: Key negotiation completed with 02:11:22:33:44:66 [PTK=CCMP GTK=CCMP]
normal,2023-11-15T00:50:40.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:09:d5
error,2023-11-15T00:24:25.150Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 7)
normal,2023-11-15T00:49:35.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-14T22:42:45.100Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.87 02:00:00:00:01:d6 LabPhone
normal,2023-11-14T23:49:00.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:05:f9
error,2023-11-15T00:46:05.150Z hostapd: wlan0: STA 02:00:00:00:09:8a WPA: group key handshake timeout
normal,2023-11-14T22:48:10.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:02:2b
normal,2023-11-15T00:51:00.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:09:d9
normal,2023-11-15T00:42:35.000Z hostapd: wlan0: STA 02:00:00:00:09:50 IEEE 802.11: authenticated
error,2023-11-14T23:59:00.450Z kernel: wlan0: firmware crashed while processing association response
normal,2023-11-15T00:11:10.050Z hostapd: wlan0: STA 02:00:00:00:07:5b IEEE 802.11: associated (aid 1)
error,2023-11-15T01:17:50.150Z hostapd: wlan0: STA 02:00:00:00:0b:87 IEEE 802.11: disassociated due to excessive frame loss
normal,2023-11-15T00:57:40.000Z hostapd: wlan0: STA 02:00:00:00:0a:45 IEEE 802.11: authenticated
error,2023-11-14T23:42:50.150Z hostapd: wlan0: STA 02:00:00:00:05:97 IEEE 802.11: disassociated due to excessive frame loss
error,"2023-11-15T00:39:35.650Z kernel: IPv4: martian source 10.0.0.87 from 10.0.0.87, on dev wlan0"
error,2023-11-14T22:49:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:02:44
normal,2023-11-15T00:26:00.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:08:49
error,"2023-11-14T23:32:20.150Z hostapd: wlan0: STA 02:00:00:00:04:f1 IEEE 802.11: authentication rejected, status_code=13"
error,2023-11-15T01:12:30.050Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,"2023-11-15T01:13:20.100Z hostapd: wlan0: STA 02:00:00:00:0b:41 IEEE 802.11: denied association, too many stations"
error,"2023-11-14T22:54:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
error,2023-11-15T00:09:05.100Z hostapd: wlan0: STA 02:00:00:00:07:3a WPA: PTKSTART: 4-way handshake failed after retransmission
error,2023-11-14T23:04:05.150Z hostapd: wlan0: STA 02:00:00:00:03:2a WPA: group key handshake timeout
error,2023-11-15T00:44:15.500Z hostapd: wlan0: STA 02:00:00:00:09:6c IEEE 802.1X: authentication failed - EAP timeout
normal,2023-11-15T00:28:30.000Z hostapd: wlan0: STA 02:00:00:00:08:6f IEEE 802.11: authenticated
error,2023-11-14T23:40:30.050Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-14T22:33:00.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:01:39
error,2023-11-15T01:29:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
normal,2023-11-14T22:56:10.050Z hostapd: wlan0: STA 02:00:00:00:02:ab IEEE 802.11: associated (aid 1)
error,2023-11-15T01:20:35.300Z kernel: wlan0: deauthenticating from 02:11:22:33:44:55 by local choice (Reason: 15)
normal,2023-11-15T00:46:55.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
normal,2023-11-15T00:24:10.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:08:2b
normal,2023-11-14T22:49:45.300Z dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.0.0.87 02:00:00:00:02:46
error,2023-11-14T22:30:35.150Z hostapd: wlan0: STA 02:00:00:00:01:10 WPA: EAPOL-Key timeout
error,2023-11-15T01:06:55.800Z kernel: wlan0: connection lost from 02:11:22:33:44:55 after beacon timeout
normal,2023-11-14T22:57:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:02:c4
error,2023-11-14T23:41:05.250Z wpa_supplicant[212]: wlan0: WPA: replay counter did not increase - dropping packet from 02:11:22:33:44:55
error,2023-11-15T01:32:35.250Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=15
error,2023-11-15T01:07:20.050Z hostapd: wlan0: STA 02:00:00:00:0a:e1 IEEE 802.11: association denied due to unsupported rates
error,2023-11-15T00:25:35.400Z dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.0.0.87 02:00:00:00:08:44 wrong network
error,2023-11-15T01:26:25.200Z hostapd: wlan0: STA 02:00:00:00:0c:12 IEEE 802.11: deauthenticated due to inactivity
normal,2023-11-14T22:42:00.000Z hostapd: wlan0: STA 02:00:00:00:01:c9 IEEE 802.11: authenticated
error,2023-11-15T00:14:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
normal,2023-11-14T23:24:25.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:66 completed
normal,2023-11-15T01:25:35.000Z hostapd: wlan0: STA 02:00:00:00:0c:04 IEEE 802.11: authenticated
error,2023-11-14T22:54:40.350Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:02:95
error,2023-11-14T22:24:50.150Z hostapd: wlan0: STA 02:00:00:00:00:b7 IEEE 802.11: disassociated due to excessive frame loss
normal,2023-11-14T23:56:45.300Z dnsmasq-dhcp[411]: DHCPRELEASE(wlan0) 10.0.0.87 02:00:00:00:06:76
normal,2023-11-14T23:03:05.000Z hostapd: wlan0: STA 02:00:00:00:03:1a IEEE 802.11: authenticated
error,2023-11-14T22:28:05.250Z wpa_supplicant[212]: wlan0: WPA: replay counter did not increase - dropping packet from 02:11:22:33:44:55
error,2023-11-15T00:47:05.150Z hostapd: wlan0: STA 02:00:00:00:09:9a WPA: group key handshake timeout
error,2023-11-14T22:31:00.450Z kernel: wlan0: firmware crashed while processing association response
error,2023-11-14T23:38:35.600Z dnsmasq-dhcp[411]: DHCPDECLINE(wlan0) 10.0.0.87 02:00:00:00:05:54
error,2023-11-14T22:54:30.100Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
error,2023-11-14T23:25:00.450Z kernel: wlan0: firmware crashed while processing association response
error,2023-11-14T23:46:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
normal,2023-11-14T22:30:10.050Z hostapd: wlan0: STA 02:00:00:00:01:0b IEEE 802.11: associated (aid 1)
error,2023-11-15T00:27:05.300Z hostapd: wlan0: STA 02:00:00:00:08:5a WPA: 4-way handshake information element mismatch
normal,2023-11-15T01:03:30.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:0a:9f
normal,2023-11-14T22:28:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:00:f4
normal,2023-11-15T00:10:25.050Z hostapd: wlan0: STA 02:00:00:00:07:52 IEEE 802.11: associated (aid 3)
error,2023-11-15T00:43:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
error,2023-11-15T01:20:00.500Z kernel: wlan0: TX status timeout for EAPOL frame
error,2023-11-14T22:31:35.400Z dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.0.0.87 02:00:00:00:01:24 wrong network
normal,2023-11-14T22:28:25.050Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=3 locally_generated=1
normal,2023-11-15T00:07:50.050Z hostapd: wlan0: STA 02:00:00:00:07:27 IEEE 802.11: associated (aid 4)
error,2023-11-14T22:19:30.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=7
normal,2023-11-15T00:02:35.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:06:d4
error,2023-11-15T01:11:20.200Z hostapd: wlan0: STA 02:00:00:00:0b:21 SAE: authentication failed
error,"2023-11-14T23:14:35.200Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SSID-TEMP-DISABLED id=0 ssid=""LabWiFi"" auth_failures=1 duration=10 reason=WRONG_KEY"
normal,2023-11-14T23:28:00.100Z hostapd: wlan0: STA 02:00:00:00:04:a9 WPA: pairwise key handshake completed (RSN)
normal,2023-11-15T01:08:45.000Z dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.0.0.87 02:00:00:00:0a:f6
normal,2023-11-15T01:04:55.050Z hostapd: wlan0: STA 02:00:00:00:0a:b8 IEEE 802.11: associated (aid 1)
normal,2023-11-15T00:41:10.050Z hostapd: wlan0: STA 02:00:00:00:09:3b IEEE 802.11: associated (aid 1)
error,2023-11-14T22:20:35.150Z hostapd: wlan0: STA 02:00:00:00:00:70 WPA: EAPOL-Key timeout
normal,2023-11-14T23:20:40.200Z dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 02:00:00:00:04:35
normal,2023-11-15T01:23:25.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-SIGNAL-CHANGE above=1 signal=-61 noise=9999 txrate=144400
normal,2023-11-15T01:30:45.150Z dhclient[532]: DHCPREQUEST on wlan0 to 02:11:22:33:44:55 port 67
